pkSeqID,proto,saddr,sport,daddr,dport,seq,stddev,N_IN_Conn_P_SrcIP,min,state_number,mean,N_IN_Conn_P_DstIP,drate,srate,max,attack,category,subcategory
792371,udp,192.168.100.150,48516,192.168.100.3,80,175094,0.226784,100,4.100436,4,4.457383,100,0,0.404711,4.719438,1,DoS,UDP
2056418,tcp,192.168.100.148,22267,192.168.100.3,80,143024,0.451998,100,3.439257,1,3.806172,100,0.225077,0.401397,4.44293,1,DDoS,TCP
2795650,udp,192.168.100.149,28629,192.168.100.3,80,167033,1.931553,73,0,4,2.731204,100,0,0.407287,4.138455,1,DDoS,UDP
2118009,tcp,192.168.100.148,42142,192.168.100.3,80,204615,0.428798,56,3.271411,1,3.626428,100,0,0.343654,4.2297,1,DDoS,TCP
303688,tcp,192.168.100.149,1645,192.168.100.5,80,40058,2.058381,100,0,3,1.188407,100,0,0.135842,4.753628,1,DoS,TCP
420025,tcp,192.168.100.149,39733,192.168.100.5,80,156396,2.177835,36,0,3,1.539962,36,0,0.127912,4.619887,1,DoS,TCP
3008812,udp,192.168.100.147,10800,192.168.100.3,80,118034,1.368196,100,1.97518,4,3.910081,100,0,1.02512,4.885159,1,DDoS,UDP
1064106,udp,192.168.100.150,19625,192.168.100.3,80,184672,1.788452,100,0,4,3.576574,100,0,0.446612,4.49208,1,DoS,UDP
3258414,udp,192.168.100.147,22692,192.168.100.3,80,105486,0.822443,100,2.98003,4,3.982845,100,0,1.003092,4.994536,1,DDoS,UDP
1793063,tcp,192.168.100.148,39738,192.168.100.3,80,141822,0.030759,73,0.143091,1,0.173851,100,0.103113,0.309338,0.20461,1,DDoS,TCP
3652525,tcp,192.168.100.149,40209,192.168.100.5,1334,29263,0,100,0.004534,1,0.004534,100,0,0,0.004534,1,Reconnaissance,Service_Scan
2012355,tcp,192.168.100.148,2808,192.168.100.3,80,98961,1.902401,100,0,3,2.643317,100,0,0.271451,4.398972,1,DDoS,TCP
2003856,tcp,192.168.100.147,36026,192.168.100.3,80,90462,0.170796,100,3.26539,1,3.503918,100,0.14778,0.408009,3.656128,1,DDoS,TCP
628716,udp,192.168.100.147,14303,192.168.100.7,80,11439,1.244655,100,0,4,1.758793,100,0,0.306743,2.719768,1,DoS,UDP
1061387,udp,192.168.100.148,49003,192.168.100.6,80,181953,1.550268,14,0,4,2.685047,14,0,0.240384,3.59623,1,DoS,UDP
3445141,udp,192.168.100.148,37862,192.168.100.3,80,30060,0.625767,59,2.798243,4,3.682622,100,0,0.726616,4.152734,1,DDoS,UDP
192578,tcp,192.168.100.148,55661,192.168.100.6,80,191101,0.005329,60,0,1,0.003077,60,0,0.130665,0.012306,1,DoS,TCP
1877025,tcp,192.168.100.149,56855,192.168.100.3,80,225784,0,72,0,3,0,100,0,0,0,1,DDoS,TCP
985803,udp,192.168.100.148,33699,192.168.100.6,80,106369,0.021371,100,3.550244,4,3.568513,100,0,0.279869,3.604116,1,DoS,UDP
285160,tcp,192.168.100.147,54098,192.168.100.7,80,21530,0,52,0,3,0,52,0,0.121219,0,1,DoS,TCP
2917014,udp,192.168.100.148,51272,192.168.100.3,80,26236,0.634362,56,2.760138,4,3.657214,100,0,0.729375,4.113655,1,DDoS,UDP
3025207,udp,192.168.100.148,11653,192.168.100.3,80,134429,0.633178,52,2.760852,4,3.6563,100,0,0.729454,4.104394,1,DDoS,UDP
3264921,udp,192.168.100.147,26582,192.168.100.3,80,111993,0.823535,100,2.98066,4,3.986051,100,0,1.002999,4.997871,1,DDoS,UDP
2348057,tcp,192.168.100.148,26989,192.168.100.3,80,172517,1.53618,63,0,3,2.164113,100,0,0.311829,3.411198,1,DDoS,TCP
1680739,tcp,192.168.100.149,4061,192.168.100.3,80,29498,0.119378,100,0,1,0.119378,100,0,0.185088,0.238756,1,DDoS,TCP
1547675,udp,192.168.100.148,2590,192.168.100.6,80,143932,1.74158,100,0,4,3.016194,100,0,0.247802,4.057666,1,DoS,UDP
1248768,udp,192.168.100.148,40557,192.168.100.6,80,107179,2.04688,100,0,4,1.669863,100,0,0.190064,4.307466,1,DoS,UDP
2584850,tcp,192.168.100.147,37713,192.168.100.3,80,147163,0.113154,96,0,3,0.065329,100,0,0.092369,0.261317,1,DDoS,TCP
3059537,udp,192.168.100.148,24105,192.168.100.3,80,168759,0.639122,100,2.750087,4,3.653935,100,0,0.729595,4.108791,1,DDoS,UDP
332527,tcp,192.168.100.149,15302,192.168.100.5,80,68897,0.018936,100,0,1,0.010933,100,0,0.094236,0.043731,1,DoS,TCP
3482249,udp,192.168.100.147,8303,192.168.100.3,80,67168,1.196099,100,2.100948,4,3.684233,100,0,0.854435,4.991517,1,DDoS,UDP
497255,tcp,192.168.100.150,1716,192.168.100.3,80,233628,0,100,0.178191,1,0.178191,100,0,5.611956,0.178191,1,DoS,TCP
2118042,tcp,192.168.100.148,42141,192.168.100.3,80,204648,0.42879,56,3.271398,1,3.626419,100,0,0.343654,4.229678,1,DDoS,TCP
226750,tcp,192.168.100.150,43905,192.168.100.3,80,225273,0,100,0.192679,1,0.192679,100,0,5.189979,0.192679,1,DoS,TCP
2499965,tcp,192.168.100.149,38698,192.168.100.3,80,62277,0.079618,48,0,1,0.045968,100,0,0.092528,0.183871,1,DDoS,TCP
3044665,udp,192.168.100.147,27876,192.168.100.3,80,153887,1.369323,100,1.97245,4,3.908954,100,0,1.025049,4.88301,1,DDoS,UDP
2794227,udp,192.168.100.148,52186,192.168.100.3,80,165610,1.368133,83,1.370597,4,3.300139,100,0,0.631701,4.388757,1,DDoS,UDP
3462754,udp,192.168.100.150,64662,192.168.100.3,80,47673,0.976178,93,1.997006,4,3.37753,100,0,0.493759,4.068442,1,DDoS,UDP
3530246,udp,192.168.100.149,124,192.168.100.3,80,115165,0.988959,98,1.999319,4,3.397452,100,0,0.48972,4.127747,1,DDoS,UDP
1143161,udp,192.168.100.147,62465,192.168.100.7,80,1572,0.8854,68,2.032481,4,3.448358,68,0,0.218213,4.475446,1,DoS,UDP
1432785,udp,192.168.100.148,47192,192.168.100.6,80,29042,1.745575,100,0,4,3.022915,100,0,0.247954,4.075013,1,DoS,UDP
3636868,tcp,192.168.100.147,34141,192.168.100.5,5925,13198,0,100,0.003565,1,0.003565,100,0,0,0.003565,1,Reconnaissance,Service_Scan
1267263,udp,192.168.100.150,55275,192.168.100.3,80,125674,1.793617,41,0,4,3.162423,41,0,0.461508,4.925339,1,DoS,UDP
2122231,tcp,192.168.100.148,43419,192.168.100.3,80,208837,1.82702,93,0,3,2.543398,100,0,0.275039,4.209236,1,DDoS,TCP
3264213,udp,192.168.100.147,26258,192.168.100.3,80,111285,0.82369,56,2.98056,4,3.985555,100,0,1.002884,4.998137,1,DDoS,UDP
3359774,udp,192.168.100.150,9811,192.168.100.3,80,206846,1.923857,96,0,4,2.7207,100,0,0.490688,4.094733,1,DDoS,UDP
8085,tcp,192.168.100.147,9091,192.168.100.7,80,6608,0,100,0,3,0,100,0,0.130423,0,1,DoS,TCP
202748,tcp,192.168.100.148,58821,192.168.100.6,80,201271,0.012188,96,0,3,0.007037,96,0,0.134376,0.028147,1,DoS,TCP
986954,udp,192.168.100.149,21342,192.168.100.5,80,107520,1.782065,100,0,4,3.086262,100,0,0.230705,4.150616,1,DoS,UDP
3640070,udp,192.168.100.149,49345,192.168.100.5,49197,16567,0,14,0.000163,4,0.000163,57,0,0,0.000163,1,Reconnaissance,Service_Scan
1095464,udp,192.168.100.147,17217,192.168.100.7,80,216030,0.530838,100,2.541277,4,2.846189,100,0,0.406357,3.906763,1,DoS,UDP
2656277,udp,192.168.100.148,7541,192.168.100.3,80,27660,0.314664,56,3.480996,4,3.925876,100,0,0.598806,4.157401,1,DDoS,UDP
876684,udp,192.168.100.149,65144,192.168.100.5,80,259410,0.027592,100,4.128484,4,4.156039,100,0,0.239862,4.183595,1,DoS,UDP
2797328,udp,192.168.100.148,53281,192.168.100.3,80,168711,1.345703,100,1.375866,4,3.276434,100,0,0.635278,4.311903,1,DDoS,UDP
930172,udp,192.168.100.150,40757,192.168.100.3,80,50738,1.795755,93,0,4,3.591467,93,0,0.446668,4.497948,1,DoS,UDP
2244023,tcp,192.168.100.150,24454,192.168.100.3,80,68482,0.038471,36,3.602925,3,3.641397,100,0,0.271658,3.679868,1,DDoS,TCP
812070,udp,192.168.100.150,54968,192.168.100.3,80,194793,0.34206,74,3.825313,4,4.39376,74,0,0.411081,4.728631,1,DoS,UDP
134991,tcp,192.168.100.148,40420,192.168.100.6,80,133514,0,100,0,3,0,100,0,0.131938,0,1,DoS,TCP
3001320,udp,192.168.100.147,6969,192.168.100.3,80,110542,1.367795,100,1.975978,4,3.910316,100,0,1.025074,4.884435,1,DDoS,UDP
1050858,udp,192.168.100.148,47498,192.168.100.6,80,171424,0.030118,74,3.512682,4,3.556089,74,0,0.280308,3.59781,1,DoS,UDP
1930216,tcp,192.168.100.150,16801,192.168.100.3,80,16819,2.2077,90,0,3,2.2077,100,0,0.136137,4.415399,1,DDoS,TCP
2129699,tcp,192.168.100.149,16822,192.168.100.3,80,216306,0.036212,28,3.928213,3,3.964412,100,0,0.2493,4.000611,1,DDoS,TCP
1533777,udp,192.168.100.150,57602,192.168.100.3,80,130034,0.020529,100,4.775415,4,4.800015,100,0,0.6264,4.829761,1,DoS,UDP
3555064,udp,192.168.100.147,43029,192.168.100.3,80,139983,1.878973,46,0.983424,4,3.640664,100,0,1.005725,4.980109,1,DDoS,UDP
1193497,udp,192.168.100.150,39026,192.168.100.3,80,51908,1.869694,77,0,4,3.301616,77,0,0.459752,4.967558,1,DoS,UDP
2955029,udp,192.168.100.148,58762,192.168.100.3,80,64251,0.632219,69,2.765625,4,3.659693,100,0,0.729085,4.112458,1,DDoS,UDP
79764,tcp,192.168.100.150,10842,192.168.100.3,80,78287,0.055652,99,0.054189,1,0.109841,99,0.040261,0.120782,0.165493,1,DoS,TCP
3398111,udp,192.168.100.149,22433,192.168.100.3,80,245183,1.938914,100,0,4,2.741472,100,0,0.484599,4.160468,1,DDoS,UDP
3120311,udp,192.168.100.150,59525,192.168.100.3,80,229533,1.898134,100,0,4,2.684366,100,0,0.494621,4.029547,1,DDoS,UDP
768144,udp,192.168.100.148,38542,192.168.100.6,80,150867,1.556256,91,0,4,2.695512,91,0,0.24326,3.596529,1,DoS,UDP
3420492,udp,192.168.100.150,57213,192.168.100.3,80,5411,0.969608,94,2.012251,4,3.383477,100,0,0.49326,4.07249,1,DDoS,UDP
961554,udp,192.168.100.147,48227,192.168.100.7,80,82120,0.439727,100,1.407334,4,2.390369,100,0,0.404365,2.596212,1,DoS,UDP
1845980,tcp,192.168.100.149,48009,192.168.100.3,80,194739,0,50,0,3,0,100,0,0,0,1,DDoS,TCP
3512672,udp,192.168.100.147,25492,192.168.100.3,80,97591,0.765617,43,3.338294,4,4.420716,100,0,0.916069,4.984839,1,DDoS,UDP
3619646,tcp,192.168.100.147,2360,192.168.100.3,1,564,0,34,7.00E-06,1,7.00E-06,99,0,0,7.00E-06,1,Reconnaissance,Service_Scan
2788981,udp,192.168.100.149,26520,192.168.100.3,80,160364,1.961479,45,0,4,2.771486,100,0,0.403368,4.258472,1,DDoS,UDP
2934665,udp,192.168.100.147,51994,192.168.100.3,80,43887,1.369594,100,1.969048,4,3.905912,100,0,1.024222,4.884197,1,DDoS,UDP
464015,tcp,192.168.100.148,40784,192.168.100.6,80,200386,0.069866,89,0,1,0.045406,89,0.051522,0.125832,0.180385,1,DoS,TCP
625146,udp,192.168.100.147,10733,192.168.100.7,80,7869,1.244431,100,0,4,1.758567,100,0,0.306488,2.715786,1,DoS,UDP
2820545,udp,192.168.100.148,61053,192.168.100.3,80,191928,1.234924,66,1.370139,4,3.105919,100,0,0.662216,4.140702,1,DDoS,UDP
2850857,udp,192.168.100.150,48836,192.168.100.3,80,222240,0.407174,100,4.037457,4,4.444631,100,0,0.458654,4.851805,1,DDoS,UDP
23492,tcp,192.168.100.148,7409,192.168.100.6,80,22015,0.033961,78,0,1,0.016981,78,0,0.127817,0.084903,1,DoS,TCP
2200300,tcp,192.168.100.150,12228,192.168.100.3,80,24758,0.125946,63,3.565252,3,3.691202,100,0,0.269737,3.817152,1,DDoS,TCP
3183465,udp,192.168.100.148,41645,192.168.100.3,80,30537,0.647491,100,2.773994,4,3.689503,100,0,0.723909,4.163073,1,DDoS,UDP
2541971,tcp,192.168.100.148,4859,192.168.100.3,80,104284,1.82614,63,0,1,1.423652,100,0.050838,0.118329,4.001515,1,DDoS,TCP
3131226,udp,192.168.100.150,64807,192.168.100.3,80,240448,1.902099,40,0,4,2.689973,100,0,0.494539,4.038394,1,DDoS,UDP
542777,tcp,192.168.100.149,41826,192.168.100.5,80,16995,0,100,0,3,0,100,0,0.033971,0,1,DoS,TCP
1698367,tcp,192.168.100.149,8410,192.168.100.3,80,47126,0,100,0,3,0,100,0,0.094579,0,1,DDoS,TCP
2055117,tcp,192.168.100.147,47750,192.168.100.3,80,141723,1.612284,100,0.198348,1,2.478322,100,0,0.356951,3.640228,1,DDoS,TCP
1596596,udp,192.168.100.148,29073,192.168.100.6,80,192854,0.026847,100,3.98775,4,4.024628,100,0,0.24784,4.051011,1,DoS,UDP
473224,tcp,192.168.100.149,54557,192.168.100.5,80,209595,2.136066,100,0,3,1.510427,100,0,0.127415,4.531281,1,DoS,TCP
1484155,udp,192.168.100.150,21363,192.168.100.3,80,80412,1.926049,100,0,4,3.850803,100,0,0.573755,4.908594,1,DoS,UDP
3033246,udp,192.168.100.147,22784,192.168.100.3,80,142468,1.367234,75,1.97756,4,3.911107,100,0,1.024775,4.884659,1,DDoS,UDP
2667033,udp,192.168.100.147,29963,192.168.100.3,80,38416,0.454449,100,3.982228,4,4.345253,100,0,0.840349,4.986053,1,DDoS,UDP
455605,tcp,192.168.100.148,38311,192.168.100.6,80,191976,0.054412,35,0,1,0.03347,35,0.039368,0.127086,0.140249,1,DoS,TCP
1246440,udp,192.168.100.147,38257,192.168.100.7,80,104851,1.819973,100,0,4,2.227101,100,0,0.213247,3.848833,1,DoS,UDP
744759,udp,192.168.100.148,33397,192.168.100.6,80,127482,1.552322,100,0,4,2.68869,100,0,0.23975,3.591539,1,DoS,UDP
2814425,udp,192.168.100.150,35184,192.168.100.3,80,185808,1.834296,100,0,4,2.586202,100,0,0.423469,4.05433,1,DDoS,UDP
1982810,tcp,192.168.100.150,44146,192.168.100.3,80,69416,1.927133,14,0,1,2.722795,100,0,0.275717,4.186916,1,DDoS,TCP
3084568,udp,192.168.100.149,46189,192.168.100.3,80,193790,1.912449,100,0,4,2.704606,100,0,0.493354,4.061014,1,DDoS,UDP
624622,udp,192.168.100.147,10209,192.168.100.7,80,7345,1.244341,100,0,4,1.758446,100,0,0.306478,2.716023,1,DoS,UDP
760522,udp,192.168.100.148,36872,192.168.100.6,80,143245,1.546631,100,0.01996,4,2.698775,100,0,0.241955,3.600075,1,DoS,UDP
1186304,udp,192.168.100.147,3312,192.168.100.7,80,44715,0.799167,100,1.935203,4,3.299116,100,0,0.217666,3.976325,1,DoS,UDP
3076527,udp,192.168.100.148,30222,192.168.100.3,80,185749,0.640158,100,2.749733,4,3.655052,100,0,0.656642,4.109399,1,DDoS,UDP
1643633,udp,192.168.100.149,24359,192.168.100.5,80,239891,1.704773,100,0,4,2.810383,100,0,0.279121,4.600881,1,DoS,UDP
1282001,udp,192.168.100.148,47562,192.168.100.6,80,140412,2.025943,100,0,4,1.653512,100,0,0.189005,4.224535,1,DoS,UDP
1040049,udp,192.168.100.150,5552,192.168.100.3,80,160615,1.790013,74,0,4,3.579855,74,0,0.446529,4.489514,1,DoS,UDP
2479268,tcp,192.168.100.147,60144,192.168.100.3,80,41580,1.244089,62,0,3,1.244089,100,0,0.060039,2.488178,1,DDoS,TCP
708991,udp,192.168.100.147,40248,192.168.100.7,80,91714,1.227592,72,0,4,1.731068,72,0,0.343886,2.758586,1,DoS,UDP
1279750,udp,192.168.100.150,59006,192.168.100.3,80,138161,1.779572,100,0,4,3.137197,100,0,0.461412,4.908194,1,DoS,UDP
3661619,udp,192.168.100.147,35226,192.168.100.5,16420,2191,0,15,0,4,0,58,0,0,0,1,Reconnaissance,Service_Scan
2162670,tcp,192.168.100.149,29469,192.168.100.3,80,249277,0.074685,90,3.976667,1,4.051339,100,0,0.332826,4.126012,1,DDoS,TCP
1440407,udp,192.168.100.149,30905,192.168.100.5,80,36664,0.154121,100,3.250767,4,3.39652,100,0,0.281698,3.648107,1,DoS,UDP
1511891,udp,192.168.100.150,46657,192.168.100.3,80,108148,0.034627,100,4.777572,4,4.811336,100,0,0.624955,4.867688,1,DoS,UDP
3453245,udp,192.168.100.147,62071,192.168.100.3,80,38164,0.86407,99,2.851642,4,3.946892,100,0,1.014617,4.963819,1,DDoS,UDP
1934634,tcp,192.168.100.150,18334,192.168.100.3,80,21237,2.309362,82,0,1,2.309362,100,0,0.204201,4.618725,1,DDoS,TCP
2641054,udp,192.168.100.147,14377,192.168.100.3,80,12437,0.460912,100,3.992806,4,4.338566,100,0,0.838489,4.989983,1,DDoS,UDP
978022,udp,192.168.100.148,31870,192.168.100.6,80,98588,0.014498,66,3.551451,4,3.570189,66,0,0.279726,3.590624,1,DoS,UDP
1927151,tcp,192.168.100.149,30049,192.168.100.3,80,13750,0.027886,53,3.995209,1,4.01916,100,0,0.311669,4.058216,1,DDoS,TCP
1337884,udp,192.168.100.149,10114,192.168.100.5,80,196295,1.777552,52,0,4,2.150022,52,0,0.229756,4.093135,1,DoS,UDP
2950295,udp,192.168.100.149,23245,192.168.100.3,80,59517,0.951495,31,2.03731,4,3.382913,100,0,0.493146,4.060967,1,DDoS,UDP
1937037,tcp,192.168.100.149,33161,192.168.100.3,80,23640,1.893443,100,0,3,2.677727,100,0,0.249586,4.021296,1,DDoS,TCP
169837,tcp,192.168.100.150,29054,192.168.100.3,80,168360,0.044822,74,0.085221,1,0.130043,74,0.035602,0.106805,0.174865,1,DoS,TCP
1532018,udp,192.168.100.150,56611,192.168.100.3,80,128275,0.01562,100,4.784691,4,4.803769,100,0,0.62645,4.826645,1,DoS,UDP
2948998,udp,192.168.100.149,22908,192.168.100.3,80,58220,0.953489,75,2.037227,4,3.385654,100,0,0.493135,4.064316,1,DDoS,UDP
3400771,udp,192.168.100.150,28768,192.168.100.3,80,247843,1.925245,100,0,4,2.722696,100,0,0.4907,4.090985,1,DDoS,UDP
2937727,udp,192.168.100.149,19691,192.168.100.3,80,46949,0.952534,99,2.038837,4,3.385921,100,0,0.493039,4.061676,1,DDoS,UDP
3444153,udp,192.168.100.147,59583,192.168.100.3,80,29072,0.848873,99,2.890087,4,3.961841,100,0,1.011204,4.966103,1,DDoS,UDP
2752376,udp,192.168.100.149,17216,192.168.100.3,80,123759,2.055866,100,0,4,2.890031,100,0,0.39239,4.610124,1,DDoS,UDP
3524489,udp,192.168.100.148,54320,192.168.100.3,80,109408,0.725388,100,2.583162,4,3.608702,100,0,0.738493,4.143514,1,DDoS,UDP
3596434,tcp,192.168.100.149,62169,192.168.100.3,2035,1263,0,100,1.60E-05,1,1.60E-05,100,0,0,1.60E-05,1,Reconnaissance,Service_Scan
2772462,udp,192.168.100.150,22504,192.168.100.3,80,143845,2.002759,100,0,4,2.824603,100,0,0.399542,4.417955,1,DDoS,UDP
2881607,udp,192.168.100.150,64038,192.168.100.3,80,252990,0.098416,64,4.033005,4,4.131422,100,0,0.486559,4.229838,1,DDoS,UDP
1463252,udp,192.168.100.150,6796,192.168.100.3,80,59509,1.924766,100,0,4,3.848048,100,0,0.616139,4.911885,1,DoS,UDP
827989,udp,192.168.100.148,51882,192.168.100.6,80,210712,1.583754,100,0,4,2.739331,100,0,0.254941,3.788433,1,DoS,UDP
432905,tcp,192.168.100.149,42807,192.168.100.5,80,169276,2.118533,17,0,3,2.993405,17,0,0.170106,4.599285,1,DoS,TCP
1528052,udp,192.168.100.149,52144,192.168.100.5,80,124309,0.080505,68,3.263076,4,3.344391,68,0,0.283937,3.469959,1,DoS,UDP
2149424,tcp,192.168.100.147,7431,192.168.100.3,80,236031,1.641746,100,0,3,2.321631,100,0,0.299588,3.50516,1,DDoS,TCP
2418901,tcp,192.168.100.150,64547,192.168.100.3,80,243361,0.137711,100,3.725393,1,3.863101,100,0,0.342956,4.000809,1,DDoS,TCP
2184704,tcp,192.168.100.147,64137,192.168.100.3,80,9156,1.354141,72,0,1,2.344273,100,0.109195,0.486654,3.171142,1,DDoS,TCP
13980,tcp,192.168.100.148,2763,192.168.100.6,80,12503,0.016018,100,0,3,0.008009,100,0,0.128004,0.040045,1,DoS,TCP
542703,tcp,192.168.100.149,41803,192.168.100.5,80,16921,0,100,0,3,0,100,0,0.033971,0,1,DoS,TCP
2148247,tcp,192.168.100.147,6615,192.168.100.3,80,234854,1.696166,100,0,1,2.39648,100,0,0.374779,3.68489,1,DDoS,TCP
2835467,udp,192.168.100.148,381,192.168.100.3,80,206850,2.120185,76,0,4,2.973153,100,0,0.684137,4.795959,1,DDoS,UDP
2401351,tcp,192.168.100.147,35295,192.168.100.3,80,225811,1.439813,99,0,3,2.036203,100,0,0.331366,3.055291,1,DDoS,TCP
3506520,udp,192.168.100.150,7534,192.168.100.3,80,91439,1.917933,87,0,4,2.712366,100,0,0.4196,4.070362,1,DDoS,UDP
830869,udp,192.168.100.149,43351,192.168.100.5,80,213592,2.113598,100,0,4,2.112648,100,0,0.21737,4.314898,1,DoS,UDP
3380654,udp,192.168.100.149,13194,192.168.100.3,80,227726,1.937143,88,0,4,2.739103,100,0,0.484689,4.15075,1,DDoS,UDP
2653510,udp,192.168.100.148,6118,192.168.100.3,80,24893,0.315914,92,3.480513,4,3.927096,100,0,0.598605,4.161589,1,DDoS,UDP
1279321,udp,192.168.100.147,51054,192.168.100.7,80,137732,1.823183,100,0,4,1.487931,100,0,0.201617,3.80769,1,DoS,UDP
694492,udp,192.168.100.149,12370,192.168.100.5,80,77215,1.948807,66,0,4,2.756009,66,0,0.15843,4.143043,1,DoS,UDP
464332,tcp,192.168.100.147,44418,192.168.100.7,80,200703,0,100,0,3,0,100,0,0.153068,0,1,DoS,TCP
2552365,tcp,192.168.100.149,44223,192.168.100.3,80,114678,0,44,0,3,0,100,0,0.067688,0,1,DDoS,TCP
1098071,udp,192.168.100.147,19248,192.168.100.7,80,218637,0.531556,100,2.538646,4,2.846834,100,0,0.406361,3.90874,1,DoS,UDP
929939,udp,192.168.100.147,42534,192.168.100.7,80,50505,0.442703,100,1.395638,4,2.385158,100,0,0.404341,2.60394,1,DoS,UDP
1878248,tcp,192.168.100.147,64363,192.168.100.3,80,227007,0,100,0.331388,1,0.331388,100,0,3.017611,0.331388,1,DDoS,TCP
2167126,tcp,192.168.100.150,7100,192.168.100.3,80,253733,1.949617,100,0.174725,1,2.124342,100,0,0.210217,4.07396,1,DDoS,TCP
